,bType,pType,ranges,PA,AB,H,BB,1B,2B,3B,HR,R,K,SF,DP,Adv 2nd,SA,SB,AVG,OBP,ER6,,,,,
141,1B,All,NEW,434132,377162,106483,52491,61274,25640,4812,14757,56894,50991,4479,24842,4261,0,0,0.282326958,0.366188164,3.41364,,New,High,Low,Avg
168,1B,All,NEW,433947,377582,106700,51917,60827,25521,4926,15426,57631,51024,4448,24670,4137,0,0,0.282587623,0.365521596,3.45786,,,3.458,3.412,3.427
195,1B,All,NEW,433886,377440,106471,51982,60859,25472,4833,15307,57206,51142,4464,24567,4184,0,0,0.282087219,0.365195005,3.43236,,,,,
222,1B,All,NEW,433597,376680,105895,52433,60736,25394,4910,14855,56871,51501,4484,24731,4174,0,0,0.281127217,0.365150128,3.41226,,Diffs,0.009,0.013,0.002
249,1B,All,NEW,433313,377228,106334,51602,60994,25367,4950,15023,56949,51245,4483,24623,4237,0,0,0.281882575,0.364484795,3.41694,,,,,
6,1B,All,OLD,434288,377784,106840,52094,61431,25659,4800,14950,57096,51583,4410,23618,2049,0,0,0.282807107,0.365964521,3.42576,,,,,
33,1B,All,OLD,435444,378168,107353,52792,61627,25710,4877,15139,57778,51413,4484,23634,2076,0,0,0.283876478,0.367774042,3.46668,,Old,High,Low,Avg
60,1B,All,OLD,433624,377015,106246,52184,61138,25322,4811,14975,56659,51216,4425,23796,2032,0,0,0.281808416,0.365362618,3.39954,,,3.467,3.400,3.429
87,1B,All,OLD,433960,377139,106368,52343,61005,25294,4824,15245,57076,51245,4478,23715,2034,0,0,0.282039248,0.365727256,3.42456,,-,-,-,-
114,1B,All,OLD,434381,377784,106847,51997,61598,25539,4793,14917,57147,51627,4600,23386,2149,0,0,0.282825636,0.365678978,3.42882,,-,-,-,-
156,All,1B,NEW,422118,366447,98834,51472,55333,21644,4182,17675,56107,62514,4199,11483,5481,44658,27953,0.269708853,0.356075789,3.36642,,New,High,Low,Avg
183,All,1B,NEW,421550,365880,98119,51541,54888,21467,4281,17483,55366,62315,4129,11339,5267,44583,27812,0.268172625,0.355023129,3.32196,,,3.366,3.303,3.333
210,All,1B,NEW,422151,366157,98488,51772,54965,21531,4306,17686,55820,62768,4222,11551,5410,44640,28082,0.268977515,0.355938989,3.3492,,,,,
